🕘️更新时间,#genre#
2026-01-08 11:02:43,http://yp.qqqtv.top/1/api.php?id=CCTV-1HD&auth=666858

,#genre#

📺央视频道,#genre#
CCTV-1,http://yp.qqqtv.top/1/api.php?id=CCTV-1HD&auth=666858
CCTV-1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8
CCTV-1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=6
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=5
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=7
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=4
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=1
CCTV-1,http://113.25.252.226:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://8.138.7.223/tv/mgitv.php?id=3
CCTV-1,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV-1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1
CCTV-1,http://[2409:8087:74f0:22::4]:6610/270000001128/9900000501/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000501
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225642/2/index.m3u8
CCTV-1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://btjg.net:809/hls/2/index.m3u8
CCTV-2,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8
CCTV-2,http://8.138.7.223/tv/mgitv.php?id=10
CCTV-2,http://8.138.7.223/tv/mgitv.php?id=9
CCTV-2,http://8.138.7.223/tv/mgitv.php?id=11
CCTV-2,http://113.25.252.226:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://8.138.7.223/tv/mgitv.php?id=8
